Date,Open,High,Low,Close,Adj.Close,Date.1,Open.1,High.1,Low.1,Close.1,Adj.Close.1,Volume
19-Mar-21,3916.48,3978.19,3853.5,3974.54,3974.54,2021/3/20,29444.09961,29496.83008,28379.06055,29176.69922,29176.69922,400500000
26-Mar-21,3969.31,4020.63,3943.25,4019.87,4019.87,2021/3/27,29478.11914,29869.66992,29165.51953,29854,29854,402600000
2-Apr-21,4034.44,4129.48,4034.44,4128.8,4128.8,2021/4/3,30084.60938,30208.89063,29516.41992,29768.06055,29768.06055,309900000
9-Apr-21,4124.71,4191.31,4114.82,4185.47,4185.47,2021/4/10,29874.42969,29897.10938,29538.73047,29683.36914,29683.36914,262000000
16-Apr-21,4179.8,4194.17,4118.38,4180.17,4180.17,2021/4/17,29688.32031,29808.00977,28419.83984,29020.63086,29020.63086,278200000
23-Apr-21,4185.03,4218.78,4174.85,4181.17,4181.17,2021/4/24,29095.49023,29241.2793,28760.26953,28812.63086,28812.63086,248400000
30-Apr-21,4191.98,4238.04,4128.59,4232.6,4232.6,2021/5/1,29024.00977,29449.85938,28966.4707,29357.82031,29357.82031,161800000
7-May-21,4228.29,4236.39,4056.88,4173.85,4173.85,2021/5/8,29376.89063,29685.41016,27385.0293,28084.4707,28084.4707,383500000
14-May-21,4169.92,4188.72,4061.41,4155.86,4155.86,2021/5/15,28310.46094,28481.16992,27632.5293,28317.83008,28317.83008,322800000
21-May-21,4170.16,4218.36,4170.16,4204.11,4204.11,2021/5/22,28212.32031,29194.10938,28212.32031,29149.41016,29149.41016,391700000
28-May-21,4216.52,4234.12,4167.93,4229.89,4229.89,2021/5/29,29019.44922,29157.16016,28565.83008,28941.51953,28941.51953,286500000
4-Jun-21,4229.34,4249.74,4208.41,4247.44,4247.44,2021/6/5,29214,29241.19922,28799.74023,28948.73047,28948.73047,276200000
11-Jun-21,4248.31,4257.16,4164.4,4166.45,4166.45,2021/6/12,29153.10938,29480.84961,28875.39063,28964.08008,28964.08008,297500000
18-Jun-21,4173.4,4286.12,4173.4,4280.7,4280.7,2021/6/19,28506.83984,29174.16992,27795.85938,29066.17969,29066.17969,290900000
25-Jun-21,4284.9,4355.43,4274.67,4352.34,4352.34,2021/6/26,29112.66016,29121.2793,28624.80078,28783.2793,28783.2793,254800000
2-Jul-21,4356.46,4371.6,4289.37,4369.55,4369.55,2021/7/3,28709.57031,28748.23047,27419.40039,27940.41992,27940.41992,285000000
9-Jul-21,4372.41,4393.68,4322.53,4327.16,4327.16,2021/7/10,28412.69922,28852.31055,27847.34961,28003.08008,28003.08008,263700000
16-Jul-21,4296.4,4415.18,4233.13,4411.79,4411.79,2021/7/17,27663.40039,27882.42969,27330.15039,27548,27548,164300000
23-Jul-21,4409.58,4429.97,4372.51,4395.26,4395.26,2021/7/24,27990.4707,28036.4707,27272.49023,27283.58984,27283.58984,301700000
30-Jul-21,4406.86,4440.82,4373,4436.52,4436.52,2021/7/31,27493.32031,27888.86914,27488.74023,27820.03906,27820.03906,297800000
6-Aug-21,4437.77,4468.37,4424.74,4468,4468,2021/8/7,27887.0293,28279.80078,27808.53906,27977.15039,27977.15039,242200000
13-Aug-21,4461.65,4480.26,4367.73,4441.67,4441.67,2021/8/14,27806.10938,27833.21094,26954.81055,27013.25,27013.25,297800000
20-Aug-21,4450.29,4513.33,4450.29,4509.37,4509.37,2021/8/21,27193.09961,27897.7207,27193.09961,27641.14063,27641.14063,263100000
27-Aug-21,4513.76,4545.85,4513.76,4535.43,4535.43,2021/8/28,27867.59961,29149.65039,27602.21094,29128.10938,29128.10938,334300000
3-Sep-21,4535.38,4535.38,4457.66,4458.58,4458.58,2021/9/4,29501.2207,30381.83984,29469.34961,30381.83984,30381.83984,393600000
10-Sep-21,4474.81,4492.99,4427.76,4432.99,4432.99,2021/9/11,30372.01953,30795.7793,30202.50977,30500.05078,30500.05078,380100000
17-Sep-21,4402.95,4465.4,4305.91,4455.48,4455.48,2021/9/18,30021.25,30276.38086,29573.88086,30248.81055,30248.81055,229900000
24-Sep-21,4442.12,4457.3,4288.52,4357.04,4357.04,2021/9/25,30277.82031,30414.60938,28680.73047,28771.07031,28771.07031,440300000
1-Oct-21,4348.84,4429.97,4278.94,4391.34,4391.34,2021/10/2,29044.4707,29046.06055,27293.61914,28048.93945,28048.93945,427100000
8-Oct-21,4385.44,4475.82,4329.92,4471.37,4471.37,2021/10/9,27977.57031,29082.34961,27893.32031,29068.63086,29068.63086,333600000
15-Oct-21,4463.72,4559.67,4447.47,4544.9,4544.9,2021/10/16,29093.82031,29489.10938,28546.57031,28804.84961,28804.84961,305600000
22-Oct-21,4553.69,4608.08,4537.36,4605.38,4605.38,2021/10/23,28527.13086,29160.75977,28472.55078,28892.68945,28892.68945,453400000
29-Oct-21,4610.62,4718.5,4595.06,4697.53,4697.53,2021/10/30,29330.67969,29880.81055,29267.63086,29611.57031,29611.57031,311700000
5-Nov-21,4701.48,4714.92,4630.86,4682.85,4682.85,2021/11/6,29735.44922,29750.46094,29040.08008,29609.9707,29609.9707,326200000
13-Nov-21,4689.3,4717.75,4672.78,4697.96,4697.96,2021/11/13,29807.36914,29960.92969,29402.57031,29745.86914,29745.86914,317300000
20-Nov-21,4712,4743.83,4585.43,4594.62,4594.62,2021/11/20,29618.55078,29806.49023,28605.60938,28751.61914,28751.61914,251900000
27-Nov-21,4628.75,4672.95,4495.12,4538.43,4538.43,2021/11/27,28337.96094,28776.33984,27588.60938,28029.57031,28029.57031,456800000
4-Dec-21,4548.37,4713.57,4540.51,4712.02,4712.02,2021/12/4,28069.96094,28908.28906,27693.91016,28437.76953,28437.76953,329800000
11-Dec-21,4710.3,4731.99,4600.22,4620.64,4620.64,2021/12/11,28705.25977,29070.08008,28309.66992,28545.67969,28545.67969,309300000
18-Dec-21,4587.9,4740.74,4531.1,4725.79,4725.79,2021/12/18,28325.46094,28870.13086,27893.17969,28782.58984,28782.58984,245200000
25-Dec-21,4733.99,4808.93,4733.99,4766.18,4766.18,2021/12/25,28786.33008,29121.00977,28579.49023,28791.71094,28791.71094,169600000
1-Jan-22,4778.14,4818.62,4662.74,4677.03,4677.03,2022/1/1,29098.41016,29388.16016,28293.69922,28478.56055,28478.56055,291400000
8-Jan-22,4655.34,4748.83,4582.24,4662.85,4662.85,2022/1/8,28380.90039,28814.31055,27889.21094,28124.2793,28124.2793,298200000
15-Jan-22,4632.24,4632.24,4395.34,4397.94,4397.94,2022/1/15,28332.7207,28690.33984,27129.60938,27522.25977,27522.25977,356800000
22-Jan-22,4356.32,4453.23,4222.62,4431.85,4431.85,2022/1/22,27258.44922,27627.59961,26044.51953,26717.33984,26717.33984,363200000
29-Jan-22,4431.79,4595.31,4414.02,4500.53,4500.53,2022/1/29,26690.59961,27564.61914,26541.65039,27439.99023,27439.99023,405300000
5-Feb-22,4505.75,4590.03,4401.41,4418.64,4418.64,2022/2/5,27327.63086,27880.69922,27085.32031,27696.08008,27696.08008,330100000
12-Feb-22,4412.61,4489.55,4327.22,4348.87,4348.87,2022/2/12,27305.91992,27486.08984,26724.91016,27122.07031,27122.07031,351400000
19-Feb-22,4332.74,4385.34,4114.65,4384.65,4384.65,2022/2/19,26771.58008,26998.4707,25775.64063,26476.5,26476.5,291300000
26-Feb-22,4354.17,4416.78,4279.54,4328.87,4328.87,2022/2/26,26457.51953,27013.25977,25774.2793,25985.4707,25985.4707,421100000
5-Mar-22,4327.01,4327.01,4157.87,4204.31,4204.31,2022/3/5,25634.08984,25720.31055,24681.74023,25162.7793,25162.7793,496400000
12-Mar-22,4202.75,4465.4,4161.72,4463.12,4463.12,2022/3/12,25338.64063,26862.42969,25219.13086,26827.42969,26827.42969,425900000
18-Mar-22,4462.4,4546.03,4424.3,4543.06,4543.06,2022/3/19,27091.32031,28338.81055,27076.33008,28149.83984,28149.83984,325200000
25-Mar-22,4541.09,4637.3,4507.57,4545.86,4545.86,2022/3/26,28084.08008,28281.44922,27399.48047,27665.98047,27665.98047,371800000
1-Apr-22,4547.97,4593.45,4450.04,4488.28,4488.28,2022/4/2,27685.65039,27965.93945,26764.35938,26985.80078,26985.80078,332500000
8-Apr-22,4462.64,4471,4381.34,4392.59,4392.59,2022/4/9,26877.59961,27203.76953,26304.08008,27093.18945,27093.18945,333700000
15-Apr-22,4385.63,4512.94,4267.62,4271.78,4271.78,2022/4/16,26831.44922,27580.64063,26571.38086,27105.25977,27105.25977,301900000
22-Apr-22,4255.34,4308.45,4124.28,4131.93,4131.93,2022/4/23,26692.48047,26876.94922,26051.03906,26847.90039,26847.90039,311000000
29-Apr-22,4130.61,4307.66,4062.51,4123.34,4123.34,2022/4/30,26851.09961,27072.58984,26543.28906,27003.56055,27003.56055,173000000
6-May-22,4081.27,4081.27,3858.87,4023.89,4023.89,2022/5/7,26705.32031,26732.60938,25688.10938,26427.65039,26427.65039,441200000
13-May-22,4013.02,4090.72,3810.32,3901.36,3901.36,2022/5/14,26753.36914,27053.17969,26150.08984,26739.0293,26739.0293,391400000
20-May-22,3919.42,4158.49,3875.13,4158.24,4158.24,2022/5/21,26991.41992,27047.4707,26578.0293,26781.67969,26781.67969,338500000
27-May-22,4151.09,4177.51,4073.85,4108.54,4108.54,2022/5/28,27092.82031,27776.33008,27057.19922,27761.57031,27761.57031,441900000
3-Jun-22,4134.72,4168.78,3900.16,3900.86,3900.86,2022/6/4,27549.64063,28389.75,27523.94922,27824.28906,27824.28906,363800000
10-Jun-22,3838.15,3838.15,3636.87,3674.84,3674.84,2022/6/11,27369.66016,27389.30078,25720.80078,25963,25963,402100000
17-Jun-22,3715.31,3913.65,3715.31,3911.74,3911.74,2022/6/18,26156.61914,26519.16016,25520.23047,26491.9707,26491.9707,342300000
24-Jun-22,3920.76,3945.86,3738.67,3825.33,3825.33,2022/6/25,26741.80078,27062.31055,25841.75,25935.61914,25935.61914,408100000
1-Jul-22,3792.61,3918.5,3742.06,3899.38,3899.38,2022/7/2,26086.7793,26881.75,25945.83008,26517.18945,26517.18945,391200000
8-Jul-22,3880.94,3880.94,3721.56,3863.16,3863.16,2022/7/9,26892.73047,27062.16992,26278.2793,26788.4707,26788.4707,313100000
15-Jul-22,3883.79,4012.44,3818.63,3961.63,3961.63,2022/7/16,27003.83008,27952.25,26791.71094,27914.66016,27914.66016,242900000
22-Jul-22,3965.72,4140.15,3910.74,4130.29,4130.29,2022/7/23,27697.76953,28015.67969,27525.08984,27801.64063,27801.64063,310400000
29-Jul-22,4112.38,4167.66,4079.81,4145.19,4145.19,2022/7/30,27813.82031,28190.03906,27530.59961,28175.86914,28175.86914,370400000
5-Aug-22,4155.93,4280.47,4112.09,4280.15,4280.15,2022/8/6,28050.08984,28546.98047,27729.46094,28546.98047,28546.98047,280500000
12-Aug-22,4269.37,4325.28,4218.7,4228.48,4228.48,2022/8/13,28623.7793,29222.76953,28623.7793,28930.33008,28930.33008,266200000
19-Aug-22,4195.08,4203.04,4057.66,4057.66,4057.66,2022/8/20,28654.07031,28828.21094,28282.21094,28641.38086,28641.38086,269700000
26-Aug-22,4034.58,4062.99,3903.65,3924.26,3924.26,2022/8/27,28161.06055,28233.80078,27570.74023,27650.83984,27650.83984,338700000
2-Sep-22,3930.89,4076.81,3886.75,4067.36,4067.36,2022/9/3,27567.28906,28286.01953,27268.69922,28214.75,28214.75,312000000
9-Sep-22,4083.67,4119.28,3837.08,3873.33,3873.33,2022/9/10,28483.58984,28659.75977,27525.67969,27567.65039,27567.65039,303400000
16-Sep-22,3849.91,3907.07,3647.47,3693.23,3693.23,2022/9/17,27788.67969,27907.44922,26955.17969,27153.83008,27153.83008,187700000
23-Sep-22,3682.72,3736.74,3584.13,3585.62,3585.62,2022/9/24,26779.43945,26779.43945,25805.58984,25937.21094,25937.21094,446400000
30-Sep-22,3609.78,3806.91,3604.93,3639.66,3639.66,2022/10/1,25778.94922,27399.18945,25621.96094,27116.10938,27116.10938,377200000
7-Oct-22,3647.51,3712,3491.58,3583.07,3583.07,2022/10/8,26757.11914,27180.16016,26237.41992,27090.75977,27090.75977,289300000
14-Oct-22,3638.65,3762.79,3638.65,3752.75,3752.75,2022/10/15,26785.01953,27371.38086,26649.13086,26890.58008,26890.58008,305600000
21-Oct-22,3762.01,3905.42,3741.65,3901.06,3901.06,2022/10/22,27233,27578.05078,26974.90039,27105.19922,27105.19922,392300000
28-Oct-22,3881.85,3911.79,3698.15,3770.55,3770.55,2022/10/29,27404.30078,27692.55078,27032.01953,27199.74023,27199.74023,341400000
4-Nov-22,3780.71,4001.48,3744.22,3992.93,3992.93,2022/11/5,27406.7793,28329.53906,27357.5293,28263.57031,28263.57031,423200000
12-Nov-22,3977.97,4028.84,3906.54,3965.34,3965.34,2022/11/12,28277.64063,28305.03906,27743.15039,27899.76953,27899.76953,353200000
19-Nov-22,3956.23,4034.02,3933.34,4026.12,4026.12,2022/11/19,27982,28502.28906,27846.30078,28283.0293,28283.0293,273100000
26-Nov-22,4005.36,4100.51,3937.65,4071.7,4071.7,2022/11/26,28220.56055,28423.46094,27662.11914,27777.90039,27777.90039,386800000
3-Dec-22,4052.02,4052.45,3918.39,3934.38,3934.38,2022/12/3,27752.99023,27952.80078,27415.66016,27901.00977,27901.00977,322400000
10-Dec-22,3939.29,4100.96,3827.91,3852.36,3852.36,2022/12/10,27741.09961,28195.68945,27488.83008,27527.11914,27527.11914,291200000
17-Dec-22,3853.79,3889.82,3764.49,3844.82,3844.82,2022/12/17,27279.91992,27349.58008,26106.38086,26235.25,26235.25,445000000
24-Dec-22,3843.34,3858.19,3780.78,3839.5,3839.5,2022/12/24,26299.53906,26620.49023,25953.91992,26094.5,26094.5,274800000
31-Dec-22,3853.29,3906.19,3794.33,3895.08,3895.08,2022/12/31,25834.92969,26034.06055,25661.89063,25973.84961,25973.84961,223800000
7-Jan-23,3910.82,4003.95,3877.29,3999.09,3999.09,2023/1/7,26176.60938,26547.60938,26090.83984,26119.51953,26119.51953,308900000
14-Jan-23,3999.28,4015.39,3885.54,3972.61,3972.61,2023/1/14,25836.66992,26816.67969,25748.09961,26553.5293,26553.5293,362300000
21-Jan-23,3978.14,4094.21,3949.06,4070.56,4070.56,2023/1/21,26880.21094,27502.15039,26788.75977,27382.56055,27382.56055,329200000
28-Jan-23,4049.27,4195.44,4015.55,4136.48,4136.48,2023/1/28,27384.76953,27612.57031,27302.2207,27509.46094,27509.46094,372200000
4-Feb-23,4119.57,4176.54,4060.79,4090.46,4090.46,2023/2/4,27764.66016,27821.2207,27424.68945,27670.98047,27670.98047,382200000
11-Feb-23,4096.62,4159.77,4047.95,4079.09,4079.09,2023/2/11,27550.34961,27727.66016,27266.93945,27513.13086,27513.13086,335200000
18-Feb-23,4052.35,4052.35,3943.08,3970.04,3970.04,2023/2/18,27497.13086,27538.28906,27046.08008,27453.48047,27453.48047,274800000
25-Feb-23,3992.36,4048.29,3928.16,4045.64,4045.64,2023/2/25,27322.73047,27961.21094,27292.74023,27927.4707,27927.4707,363000000
4-Mar-23,4055.15,4078.49,3846.32,3861.59,3861.59,2023/3/4,28182.31055,28734.78906,28118.74023,28143.9707,28143.9707,386300000
11-Mar-23,3835.12,3964.46,3808.86,3916.64,3916.64,2023/3/11,27886.21094,27906.9707,26632.91992,27333.78906,27333.78906,517000000
17-Mar-23,3917.47,4039.49,3909.16,3970.99,3970.99,2023/3/18,27253.73047,27520.9707,26945.66992,27385.25,27385.25,280900000
24-Mar-23,3982.93,4110.75,3951.53,4109.31,4109.31,2023/3/25,27482.39063,28124.61914,27359.7207,28041.48047,28041.48047,380700000
31-Mar-23,4102.2,4133.13,4069.84,4105.02,4105.02,2023/4/1,28203.34961,28287.41992,27427.66016,27518.31055,27518.31055,344900000
7-Apr-23,4085.2,4163.19,4072.55,4137.64,4137.64,2023/4/8,27658.51953,28515.50977,27597.17969,28493.4707,28493.4707,308300000
14-Apr-23,4137.17,4169.48,4113.86,4133.52,4133.52,2023/4/15,28537.99023,28778.36914,28414.98047,28564.36914,28564.36914,296400000
21-Apr-23,4132.07,4170.06,4049.35,4169.48,4169.48,2023/4/22,28631.7793,28879.24023,28241.66992,28856.43945,28856.43945,355600000
28-Apr-23,4166.79,4186.92,4048.28,4136.25,4136.25,2023/4/29,29058.05078,29278.80078,29016.83008,29157.94922,29157.94922,137300000
